id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link,Address,Date_time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude_rain,Longitude,Resolved Address,"Name, Info, Conditions",
42,3/22/07,,NA,United States,US,Ohio,17288,New Philadelphia,3.33522,,40.5175,-81.4305,"(40.517499999999998, -81.430499999999995)",Landslide,Landslide,Small,Rain,,,,Canton Rep.com,http://www.cantonrep.com/index.php?ID=345054&Category=9&subCategoryID=0,"40.5175,-81.4305",03/22/2007,61,68,62.7,50.7,65.62,,18.5,43,,,0.11,54.17,,8.9,77.2,1019.5,"Mist, Rain, Light Rain",40.5175,-81.4305,"40.5175,-81.4305","Rain, Overcast",
56,04/06/07,,NA,United States,US,Pennsylvania,15930,Wilkinsburg,2.91977,Urban area,40.4377,-79.916,"(40.4377, -79.915999999999997)",Landslide,Landslide,Small,Rain,,,,The Pittsburgh Channel.com,https://web.archive.org/web/20080423132842/http://www.thepittsburghchannel.com/news/11846833/detail.html,"40.4377,-79.916",04/06/07,25.2,33.9,28.9,17.4,62.3,,15.2,,,15.1,0,4.17,,8.7,94.5,1012.1,Light Snow,40.4377,-79.916,"40.4377,-79.916",Overcast,
59,4/14/07,,NA,Canada,CA,Quebec,42786,Châteauguay,2.98682,Above river,45.3226,-73.7771,"(45.322600000000001, -73.777100000000004)",Landslide,Riverbank collapse,Small,Rain,,,,Le Soleil,http://www.hebdos.net/lsc/edition162007/articles.asp?article_id=166976,"45.3226,-73.7771",04/14/2007,35.7,43.3,39.2,36,88.81,,7.9,,,29.6,0.04,4.17,,,0,1014,,45.3226,-73.7771,"45.3226,-73.7771",Rain,
61,4/15/07,,NA,United States,US,Kentucky,6903,Pikeville,5.66542,Below road,37.4325,-82.4931,"(37.432499999999997, -82.493099999999998)",Landslide,Landslide,Small,Downpour,,,0,Matthew Crawford (KGS),,"37.4325,-82.4931",04/15/2007,35,55.3,41,37,86.53,,11.4,,,28.3,0.4,16.67,,4.5,80,1003.7,"Mist, Rain, Fog, Light Rain",37.4325,-82.4931,"37.4325,-82.4931","Rain, Overcast",
64,4/20/07,,NA,United States,US,Kentucky,6903,Pikeville,0.23715,,37.4814,-82.5186,"(37.481400000000001, -82.518600000000006)",Landslide,Landslide,Small,Rain,,,,Applalachain news-express,http://www.news-expressky.com/articles/2007/04/19/top_story/01mudslide.txt,"37.4814,-82.5186",04/20/2007,43,68.1,55.2,38.5,58.74,,6.9,,,41.4,0,0,,8.4,23.7,1020.9,Mist,37.4814,-82.5186,"37.4814,-82.5186",Clear,
67,4/24/07,,NA,United States,US,South Dakota,2540,Dakota Dunes,2.48033,,42.4941,-96.4576,"(42.494100000000003, -96.457599999999999)",Landslide,Landslide,Small,Rain,,,,Sioux City Journnal,http://www.siouxcityjournal.com/articles/2007/04/25/news/top/02a92f1defdd220f862572c800126dfc.txt,"42.4941,-96.4576",04/24/2007,48.5,57.1,51.1,45.7,82.18,,21.1,34.4,,43,1.96,66.67,,8.4,93.4,1016.9,"Mist, Light Drizzle, Rain, Heavy Rain, Light Rain",42.4941,-96.4576,"42.4941,-96.4576","Rain, Overcast",
77,5/21/07,,SA,Colombia,CO,Risaralda,440118,Pereira,0.62022,,4.8081,-75.6941,"(4.8080999999999996, -75.694100000000006)",Landslide,Mudslide,Large,Rain,,,13,Reuters - AlertNet.org,http://www.reuters.com/news/video/videoStory?videoId=53594&feedType=RSS&rpc=23,"4.8081,-75.6941",05/21/2007,64.5,75.3,68.1,64.2,87.89,,6.9,,,,0.27,11.76,,4.5,81.2,,"Drizzle, Mist, Heavy Drizzle, Light Drizzle, Fog, Smoke Or Haze",4.8081,-75.6941,"4.8081,-75.6941","Rain, Overcast",
105,6/27/07,,SA,Ecuador,EC,Zamora-Chinchipe,15276,Zamora,0.47714,,-4.065,-78.951,"(-4.0650000000000004, -78.950999999999993)",Landslide,Landslide,Medium,Downpour,,,,Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2908,"-4.065,-78.95100000000001",,,,,,,,,,,,0,,,,,,,-4.065,-78.951,"-4.065,-78.95100000000001",,
106,6/27/07,,SA,Ecuador,EC,Loja,117796,Loja,0.35649,,-3.99,-79.205,"(-3.99, -79.204999999999998)",Landslide,Landslide,Medium,Downpour,,,,Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2908,"-3.99,-79.205",,,,,,,,,,,,0,,,,,,,-3.99,-79.205,"-3.99,-79.205",,
107,6/27/07,,SA,Ecuador,EC,Pichincha,5114,Sangolquí,33.94603,,-0.356,-78.148,"(-0.35599999999999998, -78.147999999999996)",Landslide,Landslide,Medium,Downpour,,,,Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2908,"-0.35600000000000004,-78.148",06/27/2007,46.5,69,58.8,43.9,59.88,,11.4,,,47.4,0,0,,6.7,49.9,,Fog,-0.356,-78.148,"-0.35600000000000004,-78.148",Partially cloudy,
